DS,NG CONS EGAT,NG CONS GSP,NG CONS IPP,NG CONS Industry,NG CONS NGV,NG CONS SPP,NG PRD Domestic,NG PRD Import,POWGEN DEDP,POWGEN EGAT,POWGEN IPP,POWGEN Import,POWGEN SPP,POWGEN VSPP
1987-12-31,377.0,79.0,0.0,5.0,0.0,0.0,505.0,0.0,0.96,2223.7700000000004,0.0,64.95,0.0,0.0
1987-02-28,317.0,80.0,0.0,4.0,0.0,0.0,429.0,0.0,0.0,2056.93,0.0,33.13,0.0,0.0
1987-01-31,283.0,80.0,0.0,6.0,0.0,0.0,398.0,0.0,0.0,2086.48,0.0,39.23,0.0,0.0
1987-07-31,402.0,78.0,0.0,4.0,0.0,0.0,523.0,0.0,0.0,2528.32,0.0,17.9,0.0,0.0
1987-06-30,434.0,77.0,0.0,4.0,0.0,0.0,557.0,0.0,0.0,2434.57,0.0,31.82,0.0,0.0
1987-03-31,331.0,79.0,0.0,5.0,0.0,0.0,443.0,0.0,0.0,2440.620000000001,0.0,31.59,0.0,0.0
1987-05-31,371.0,48.0,0.0,5.0,0.0,0.0,462.0,0.0,0.0,2498.87,0.0,29.97,0.0,0.0
1987-11-30,432.0,35.0,0.0,5.0,0.0,0.0,512.0,0.0,1.39,2419.25,0.0,50.73,0.0,0.0
1987-10-31,431.0,46.0,0.0,5.0,0.0,0.0,525.0,0.0,2.57,2505.54,0.0,48.21,0.0,0.0
1987-09-30,441.0,79.0,0.0,3.0,0.0,0.0,565.0,0.0,0.0,2439.88,0.0,8.34,0.0,0.0
1988-04-30,435.0,74.0,0.0,7.0,0.0,0.0,554.0,0.0,0.54,2747.52,0.0,28.99,0.0,0.0
1988-08-31,471.0,69.0,0.0,6.0,0.0,0.0,594.0,0.0,8.95,2813.2000000000007,0.0,44.71,0.0,0.0
1988-12-31,447.0,81.0,0.0,9.0,0.0,0.0,583.0,0.0,1.47,2631.370000000001,0.0,33.55,0.0,0.0
1988-02-29,446.0,77.0,0.0,6.0,0.0,0.0,575.0,0.0,1.24,2426.84,0.0,43.73,0.0,0.0
1988-01-31,425.0,77.0,0.0,4.0,0.0,0.0,549.0,0.0,1.55,2429.04,0.0,43.13,0.0,0.0
1988-07-31,447.0,78.0,0.0,7.0,0.0,0.0,580.0,0.0,7.26,2768.09,0.0,31.19,0.0,0.0
1988-06-30,470.0,77.0,0.0,7.0,0.0,0.0,603.0,0.0,1.74,2726.34,0.0,32.51,0.0,0.0
1988-03-31,435.0,78.0,0.0,7.0,0.0,0.0,567.0,0.0,0.54,2865.9500000000007,0.0,29.84,0.0,0.0
1988-05-31,449.0,79.0,0.0,7.0,0.0,0.0,581.0,0.0,0.16,2756.47,0.0,26.89,0.0,0.0
1988-11-30,460.0,58.0,0.0,7.0,0.0,0.0,566.0,0.0,1.86,2598.06,0.0,39.05,0.0,0.0
1988-10-31,468.0,72.0,0.0,9.0,0.0,0.0,593.0,0.0,2.13,2815.2700000000004,0.0,40.68,0.0,0.0
1988-09-30,469.0,65.0,0.0,8.0,0.0,0.0,592.0,0.0,2.75,2804.9,0.0,35.51,0.0,0.0
1989-04-30,452.0,80.0,0.0,8.0,0.0,0.0,586.0,0.0,0.59,3173.42,0.0,28.85,0.0,0.0
1989-08-31,467.0,36.0,0.0,9.0,0.0,0.0,572.0,0.0,2.23,3227.71,0.0,66.61,0.0,0.0
1989-12-31,439.0,99.0,0.0,12.0,0.0,0.0,609.0,0.0,0.92,3039.34,0.0,81.51,0.0,0.0
1989-02-28,437.0,74.0,0.0,11.0,0.0,0.0,565.0,0.0,0.67,2642.53,0.0,25.21,0.0,0.0
1989-01-31,447.0,81.0,0.0,9.0,0.0,0.0,591.0,0.0,0.75,2893.2300000000005,0.0,27.07,0.0,0.0
