YEAR_PRD,MONTH_PRD,FUELTYPE,QTY
1992,OCT,Fuel Oil,994.01
1992,OCT,Coal & Lignite,1330.35
1992,OCT,Natural Gas,2197.44
1992,OCT,Diesel,57.25
1992,OCT,Imported,47.08
1992,OCT,Renewable Energy,3.74
1992,SEP,Hydro Electricity,281.96
1992,SEP,Fuel Oil,1118.62
1992,SEP,Coal & Lignite,1237.45
1992,SEP,Natural Gas,2282.63
1992,SEP,Diesel,12.91
1992,SEP,Imported,50.58
1992,SEP,Renewable Energy,2.35
1993,APR,Hydro Electricity,394.094
1993,APR,Fuel Oil,1365.171
1993,APR,Coal & Lignite,1049.818
1993,APR,Natural Gas,2367.726
1993,APR,Diesel,24.092
1993,APR,Imported,24.685
1993,APR,Renewable Energy,1.729
1993,AUG,Hydro Electricity,328.449
1993,AUG,Fuel Oil,1361.452
1993,AUG,Coal & Lignite,1409.205
1993,AUG,Natural Gas,2189.237
1993,AUG,Diesel,40.928
1993,AUG,Imported,116.289
1993,AUG,Renewable Energy,2.766
1993,DEC,Hydro Electricity,172.184
1993,DEC,Fuel Oil,1491.604
1993,DEC,Coal & Lignite,943.346
1993,DEC,Natural Gas,2377.881
1993,DEC,Diesel,89.444
1993,DEC,Imported,49.06
1993,DEC,Renewable Energy,1.355
1993,FEB,Hydro Electricity,352.839
1993,FEB,Fuel Oil,1260.039
1993,FEB,Coal & Lignite,753.727
1993,FEB,Natural Gas,2233.516
1993,FEB,Diesel,10.262
1993,FEB,Imported,15.832
1993,FEB,Renewable Energy,1.541
1993,JAN,Hydro Electricity,220.241
1993,JAN,Fuel Oil,1320.047
1993,JAN,Coal & Lignite,896.118
1993,JAN,Natural Gas,2252.209
1993,JAN,Diesel,8.17
1993,JAN,Imported,22.758
1993,JAN,Renewable Energy,1.75
1993,JUL,Hydro Electricity,274.168
1993,JUL,Fuel Oil,1539.638
1993,JUL,Coal & Lignite,1438.831
1993,JUL,Natural Gas,2392.839
1993,JUL,Diesel,36.898
1993,JUL,Imported,77.836
1993,JUL,Renewable Energy,2.065
1993,JUN,Hydro Electricity,324.463
1993,JUN,Fuel Oil,1460.094
1993,JUN,Coal & Lignite,1389.994
1993,JUN,Natural Gas,2234.096
1993,JUN,Diesel,54.445
1993,JUN,Imported,45.453
1993,JUN,Renewable Energy,1.871
1993,MAR,Hydro Electricity,451.642
1993,MAR,Fuel Oil,1616.844
1993,MAR,Coal & Lignite,924.019
1993,MAR,Natural Gas,2454.566
1993,MAR,Diesel,18.527
1993,MAR,Imported,20.703
1993,MAR,Renewable Energy,1.7480000000000002
1993,MAY,Hydro Electricity,345.901
1993,MAY,Fuel Oil,1470.185
1993,MAY,Coal & Lignite,1409.093
1993,MAY,Natural Gas,2336.6
1993,MAY,Diesel,57.87
1993,MAY,Imported,31.914
1993,MAY,Renewable Energy,2.1799999999999997
1993,NOV,Hydro Electricity,309.103
1993,NOV,Fuel Oil,1747.871
1993,NOV,Coal & Lignite,883.544
1993,NOV,Natural Gas,2255.369
1993,NOV,Diesel,132.375
1993,NOV,Imported,37.278
1993,NOV,Renewable Energy,3.061
1993,OCT,Hydro Electricity,201.966
1993,OCT,Fuel Oil,1567.683
1993,OCT,Coal & Lignite,1130
1993,OCT,Natural Gas,2473.185
1993,OCT,Diesel,127.873
1993,OCT,Imported,82.616
1993,OCT,Renewable Energy,4.84
1993,SEP,Hydro Electricity,237.451
1993,SEP,Fuel Oil,1293.892
1993,SEP,Coal & Lignite,1276.059
1993,SEP,Natural Gas,2385.936
1993,SEP,Diesel,143.081
1993,SEP,Imported,120.092
1993,SEP,Renewable Energy,4.523
1994,APR,Hydro Electricity,302.072
1994,APR,Fuel Oil,1627.016
1994,APR,Coal & Lignite,1372.251
1994,APR,Natural Gas,2504.81
1994,APR,Diesel,87.899
1994,APR,Imported,42.141
1994,APR,Renewable Energy,3.7335599999999998
1994,AUG,Hydro Electricity,374.321
1994,AUG,Fuel Oil,1542.95
1994,AUG,Coal & Lignite,1304.278
1994,AUG,Natural Gas,2712.51
1994,AUG,Diesel,114.696
1994,AUG,Imported,116.486
1994,AUG,Renewable Energy,7.244
1994,DEC,Hydro Electricity,522.774
1994,DEC,Fuel Oil,1737.266
1994,DEC,Coal & Lignite,844.06
1994,DEC,Natural Gas,2777.9939999999997
1994,DEC,Diesel,151.859
1994,DEC,Imported,60.388
1994,DEC,Renewable Energy,8.66052
1994,FEB,Hydro Electricity,286.588
1994,FEB,Fuel Oil,1518.985
1994,FEB,Coal & Lignite,984.73
1994,FEB,Natural Gas,2311.103
1994,FEB,Diesel,141.056
1994,FEB,Imported,42.804
1994,FEB,Renewable Energy,1.94904
1994,JAN,Hydro Electricity,228.668
1994,JAN,Fuel Oil,1679.718
1994,JAN,Coal & Lignite,931.351
1994,JAN,Natural Gas,2399.783
1994,JAN,Diesel,173.633
1994,JAN,Imported,47.307
1994,JAN,Renewable Energy,1.88268
1994,JUL,Hydro Electricity,204.278
1994,JUL,Fuel Oil,1576.329
1994,JUL,Coal & Lignite,1439.127
1994,JUL,Natural Gas,2712.596
1994,JUL,Diesel,62.691
1994,JUL,Imported,103.992
1994,JUL,Renewable Energy,3.2689999999999997
1994,JUN,Hydro Electricity,197.665
1994,JUN,Fuel Oil,1636.891
1994,JUN,Coal & Lignite,1383.009
1994,JUN,Natural Gas,2628.598
1994,JUN,Diesel,155.773
1994,JUN,Imported,60.647
1994,JUN,Renewable Energy,1.979
1994,MAR,Hydro Electricity,330.83
1994,MAR,Fuel Oil,1504.255
1994,MAR,Coal & Lignite,1341.485
1994,MAR,Natural Gas,2770.875
1994,MAR,Diesel,105.138
1994,MAR,Imported,47.606
1994,MAR,Renewable Energy,3.22956
1994,MAY,Hydro Electricity,298.404
1994,MAY,Fuel Oil,1782.952
1994,MAY,Coal & Lignite,1405.696
1994,MAY,Natural Gas,2550.16
1994,MAY,Diesel,168.474
1994,MAY,Imported,50.381
1994,MAY,Renewable Energy,3.0557
1994,NOV,Hydro Electricity,625.504
1994,NOV,Fuel Oil,1759.012
1994,NOV,Coal & Lignite,845.265
1994,NOV,Natural Gas,2714.084
1994,NOV,Diesel,114.664
1994,NOV,Imported,64.505
1994,NOV,Renewable Energy,1.77908
1994,OCT,Hydro Electricity,507.186
1994,OCT,Fuel Oil,1665.935
1994,OCT,Coal & Lignite,1051.375
1994,OCT,Natural Gas,2776.361
1994,OCT,Diesel,56.494
1994,OCT,Imported,113.87
1994,OCT,Renewable Energy,4.71
1994,SEP,Hydro Electricity,525.312
1994,SEP,Fuel Oil,1615.872
1994,SEP,Coal & Lignite,1228.281
1994,SEP,Natural Gas,2625.924
1994,SEP,Diesel,52.799
1994,SEP,Imported,120.688
1994,SEP,Renewable Energy,9.2714
1995,APR,Hydro Electricity,597.263
1995,APR,Fuel Oil,1944.334
1995,APR,Coal & Lignite,1358.165
1995,APR,Natural Gas,2643.776
1995,APR,Diesel,104.32
1995,APR,Imported,38.78
